coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_roaster_location;roaster_country;origin_country_clean
Colombia Finca Campo Hermosa;94;Cleveland, Tennessee;Quindio Department, Colombia;Light;$29.99/8 ounces;62;82;13.22;29.99;Colombia;Cleveland, Tennessee;USA;Colombia
Colombia Finca La Sirena Mango Co-Ferment;94;Cleveland, Tennessee;Quindio Department, Colombia;Light;$22.99/8 ounces;63;87;10.14;22.99;Colombia;Cleveland, Tennessee;USA;Colombia
In Bloom;94;Jersey City, New Jersey;Colombia, Ethiopia;Light;$25.00/250 grams;64;88;10;0.881834215;Ethiopia;Jersey, New Jersey;USA;Ethiopia
Ethiopia Washed Kaffa Gimbo Lot Rich Espresso;96;Chia-Yi, Taiwan;Gimbo, Kaffa Province, Ethiopia;Medium Light;NT $250/8 ounces;55;77;110.23;250;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Natural Gute Bona;95;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Medium Light;NT $400/8 ounces;62;78;176.37;400;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
White Geisha Blend Espresso;95;Taichung, Taiwan;Panama, Ethiopia;Medium Light;$39.00/8 ounces;60;78;17.2;39;Ethiopia;Taichung, Taiwan;Taiwan;Ethiopia
Yunlin Natural Geisha CPAG-1;95;Yunlin, Taiwan;Yunlin, Taiwan;Medium Light;NT $800/4 ounces;60;78;705.47;800;Taiwan;Yunlin, Taiwan;Taiwan;Taiwan
Colombia Natural Huila Eulises Guzman;94;Chia-Yi, Taiwan;Huila Department, Colombia;Medium Light;NT $350/8 ounces;60;80;154.32;350;Colombia;Chia-Yi, Taiwan;Taiwan;Colombia
Peru Washed Cusco Buena Vista Soola SL09;94;Chia-Yi, Taiwan;Cusco, Peru;Medium Light;NT $300/4 ounces;58;77;264.55;300;Peru;Chia-Yi, Taiwan;Taiwan;Peru
Yunlin Natural Geisha;94;Yunlin, Taiwan;Yunlin, Taiwan;Light;NT $600/4 ounces;60;84;529.1;600;Taiwan;Yunlin, Taiwan;Taiwan;Taiwan
Hechi;94;Taipei, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $330/8 ounces;60;86;145.5;330;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Las Margaritas Sudan Rume;95;Madison, Wisconsin;Caicendonia, Valle Del Cauca, Cauca Department, Colombia;Light;$27.00/8 ounces;60;84;11.9;27;Colombia;Madison, Wisconsin;USA;Colombia
Wilton Benitez Geisha;95;Madison, Wisconsin;Piendamo, Cauca Department, Colombia;Light;$26.00/8 ounces;62;84;11.46;26;Colombia;Madison, Wisconsin;USA;Colombia
Itumpi Tanzania;94;Madison, Wisconsin;Mbozi District, Songwe Region, Tanzania;Medium Light;$22.00/12 ounces;59;81;6.47;22;Tanzania;Madison, Wisconsin;USA;Tanzania
Ethiopia Yirgacheffe G1 Gotiti Angel Station Geisha Washed;94;Yilan, Taiwan;Gedeb District, Gedeo Zone, southern Ethiopia;Light;NT $550/200 grams;62;82;275;19.40035273;Ethiopia;Yilan, Taiwan;Taiwan;Ethiopia
Ethiopia Guji Hambela Buku Abel Bastet Geisha Washed;94;Yilan, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Light;NT $550/200 grams;63;85;275;19.40035273;Ethiopia;Yilan, Taiwan;Taiwan;Ethiopia
Finca Cruz Loma Ecuador Geisha;96;Madison, Wisconsin;San José de Minas, Pichincha Province, Ecuador;Medium Light;$32.00/8 ounces;60;77;14.11;32;Ecuador;Madison, Wisconsin;USA;Ecuador
Costa Rica Finca El Cañal;95;Charlotte, North Carolina;Alajuela, Central Valley, Costa Rica;Light;$30.00/12 ounces;60;88;8.82;30;Rica;Charlotte, North Carolina;USA;Costa Rica
Hambela Dabaye Ethiopia;95;Madison, Wisconsin;Guji growing region, south-central Ethiopia;Light;$24.00/8 ounces;65;87;10.58;24;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Brazil Vinhal Grape Starfruit;94;Peoria, Illinois;Cerrado Mineiro, Minas Gerais, Brazil;Medium Light;$21.00/12 ounces;59;77;6.17;21;Brazil;Peoria, Illinois;USA;Brazil
Duwancho Natural Ethiopia;94;Madison, Wisconsin;Sidamo growing region, southern Ethiopia;Light;$28.00/12 ounces;61;82;8.23;28;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Colombia Finca Santa Barbara Gesha Anaerobic Honey;95;Floyd, Virginia;Algeciras, Huila Department, Colombia;Light;$32.00/12 ounces;63;87;9.41;32;Colombia;Floyd, Virginia;USA;Colombia
Colombia Faver Emir Ninco Pink Bourbon;94;Taipei, Taiwan;Santa Maria, Huila Department, Colombia;Light;NT $559/8 ounces;61;81;246.47;559;Colombia;Taipei, Taiwan;Taiwan;Colombia
Ethiopia Yirgacheffe Earl Grey Peach;94;Taipei, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;NT $329/8 ounces;65;87;145.06;329;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Colombia Cauca Lusitania Geisha Washed;94;Taipei, Taiwan;Caicedonia, Cauca Department, Colombia;Light;NT $470/100 grams;66;88;470;16.57848325;Colombia;Taipei, Taiwan;Taiwan;Colombia
Kenya Kirinyaga Karamundi Washed AB;95;Taichung, Taiwan;Kirinyaga District, south-central Kenya;Light;NT $480/8 ounces;66;86;211.64;480;Kenya;Taichung, Taiwan;Taiwan;Kenya
Kaʻū Morning Glory;97;Hilo, Hawai’i Island, Hawai’i;Kaʻū growing region, Hawai’i Island, Hawai’i;Light;$19.00/4 ounces;62;84;16.75;19;;Hilo, Hawaii;USA;
Kaʻū Yellow Bourbon;95;Hilo, Hawai’i Island, Hawai’i;Kaʻū growing region, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;60;80;15.52;44;;Hilo, Hawaii;USA;
Colombia San Adolfo Huila;95;San Diego, California;Huila Department, Colombia;Light;$40.00/8 ounces;65;87;17.64;40;Colombia;San Diego, California;USA;Colombia
Rwanda Kungahara Carbonic Maceration;95;Floyd, Virginia;Rustiro, Rwanda;Light;$28.00/12 ounces;64;86;8.23;28;Rwanda;Floyd, Virginia;USA;Rwanda
Ecuador La Papaya Pacamara;95;Fort Wayne, Indiana;Saraguro, Loja, Ecuador;Light;$29.00/8 ounces;64;86;12.79;29;Ecuador;Fort Wayne, Indiana;USA;Ecuador
Peru Churupampa Pacamara;94;Fort Wayne, Indiana;Jaén, Cajamarca, Peru;Medium Light;$22.00/12 ounces;59;80;6.47;22;Peru;Fort Wayne, Indiana;USA;Peru
Ethiopia Ayla Sidamo;95;Fort Wayne, Indiana;Sidamo growing region, southern Ethiopia;Light;$20.00/ 12 ounces;62;84;5.88;20;Ethiopia;Fort Wayne, Indiana;USA;Ethiopia
Ethiopia Mullugeta Muntasha;94;Fort Wayne, Indiana;Bursa Village, Arbegona, Sidama growing region, southern Ethiopia;Medium Light;$23.00/12 ounces;61;79;6.76;23;Ethiopia;Fort Wayne, Indiana;USA;Ethiopia
Ka’u Giant Maragogipe;94;Hilo, Hawai'i;Ka’u growing region, Hawai’i Island, Hawai’i;Medium Light;$42.00/10 ounces;52;73;14.81;42;;Hilo, Hawaii;USA;
