coffee_name,total_score,roast_level,agtron_ground,agtron_roast,price_per_100g,roaster_country,origin_country
Colombia Finca Campo Hermosa,94,Light,62,82,13.22,USA,Colombia
Colombia Finca La Sirena Mango Co-Ferment,94,Light,63,87,10.14,USA,Colombia
In Bloom,94,Light,64,88,10.0,USA,Ethiopia
Ethiopia Washed Kaffa Gimbo Lot Rich Espresso,96,Medium Light,55,77,110.23,Taiwan,Ethiopia
Ethiopia Natural Gute Bona,95,Medium Light,62,78,176.37,Taiwan,Ethiopia
White Geisha Blend Espresso,95,Medium Light,60,78,17.2,Taiwan,Ethiopia
Yunlin Natural Geisha CPAG-1,95,Medium Light,60,78,705.47,Taiwan,Taiwan
Colombia Natural Huila Eulises Guzman,94,Medium Light,60,80,154.32,Taiwan,Colombia
Peru Washed Cusco Buena Vista Soola SL09,94,Medium Light,58,77,264.55,Taiwan,Peru
Yunlin Natural Geisha,94,Light,60,84,529.1,Taiwan,Taiwan
Hechi,94,Light,60,86,145.5,Taiwan,Ethiopia
Las Margaritas Sudan Rume,95,Light,60,84,11.9,USA,Colombia
Wilton Benitez Geisha,95,Light,62,84,11.46,USA,Colombia
Itumpi Tanzania,94,Medium Light,59,81,6.47,USA,Tanzania
Ethiopia Yirgacheffe G1 Gotiti Angel Station Geisha Washed,94,Light,62,82,275.0,Taiwan,Ethiopia
Ethiopia Guji Hambela Buku Abel Bastet Geisha Washed,94,Light,63,85,275.0,Taiwan,Ethiopia
Finca Cruz Loma Ecuador Geisha,96,Medium Light,60,77,14.11,USA,Ecuador
Costa Rica Finca El Cañal,95,Light,60,88,8.82,USA,Costa Rica
Hambela Dabaye Ethiopia,95,Light,65,87,10.58,USA,Ethiopia
Brazil Vinhal Grape Starfruit,94,Medium Light,59,77,6.17,USA,Brazil
Duwancho Natural Ethiopia,94,Light,61,82,8.23,USA,Ethiopia
Colombia Finca Santa Barbara Gesha Anaerobic Honey,95,Light,63,87,9.41,USA,Colombia
Colombia Faver Emir Ninco Pink Bourbon,94,Light,61,81,246.47,Taiwan,Colombia
Ethiopia Yirgacheffe Earl Grey Peach,94,Light,65,87,145.06,Taiwan,Ethiopia
Colombia Cauca Lusitania Geisha Washed,94,Light,66,88,470.0,Taiwan,Colombia
Kenya Kirinyaga Karamundi Washed AB,95,Light,66,86,211.64,Taiwan,Kenya
Kaʻū Morning Glory,97,Light,62,84,16.75,USA,USA
Kaʻū Yellow Bourbon,95,Medium Light,60,80,15.52,USA,USA
Colombia San Adolfo Huila,95,Light,65,87,17.64,USA,Colombia
Rwanda Kungahara Carbonic Maceration,95,Light,64,86,8.23,USA,Rwanda
Ecuador La Papaya Pacamara,95,Light,64,86,12.79,USA,Ecuador
Peru Churupampa Pacamara,94,Medium Light,59,80,6.47,USA,Peru
Ethiopia Ayla Sidamo,95,Light,62,84,5.88,USA,Ethiopia
Ethiopia Mullugeta Muntasha,94,Medium Light,61,79,6.76,USA,Ethiopia
Ka’u Giant Maragogipe,94,Medium Light,52,73,14.81,USA,USA
Ka’u Red Bourbon,95,Medium Light,60,78,15.52,USA,USA
Kona Bloom,94,Medium Light,57,78,15.52,USA,USA
Guatemala Retiro del Quisaya Washed Process,94,Medium Light,57,79,5.86,USA,Guatemala
Ethiopian Single Origin,94,Medium Light,52,74,4.99,USA,Ethiopia
Colombia Finca Al Paraiso Y–05 Lychee,95,Medium,52,64,8.97,USA,Colombia
Colombia Las Perlitas Anaerobic Honey,94,Medium Light,59,81,11.01,USA,Colombia
Panama Altieri Luci Geisha Natural Cold Dry Ferment,94,Medium Light,58,81,35.26,USA,Panama
Costa Rica La Minita,94,Medium Light,56,82,6.47,USA,Costa Rica
Ethiopia Guji Grape GildVine Natural G1,94,Light,67,88,220.26,Taiwan,Ethiopia
Kenya Baragwi Guama AA Washed,95,Light,61,83,6.17,USA,Kenya
Potosi Pink Bourbon Natural Colombia,96,Light,64,86,12.79,USA,Colombia
Wilton Benitez Sudan Rume Colombia,95,Light,62,82,11.02,USA,Colombia
Kangocho Kenya,95,Medium Light,59,81,7.35,USA,Kenya
La Esperanza Mandela,95,Light,62,80,11.9,USA,Colombia
Mexico Alva Flores,94,Medium Light,54,72,5.29,USA,Mexico
Ethiopia Natural Sidama Blue Donkey Lot 2,96,Light,62,84,154.32,Taiwan,Ethiopia
Trust the Process Costa Rica Finca Carrizal SL28 Black Diamond Natural,95,Light,62,84,10.58,USA,Costa Rica
Guatemala Washed Finca El General Gesha,94,Medium Light,58,77,370.37,Taiwan,Guatemala
Guatemala Finca El General Bourbon Honey Espresso,94,Medium Light,56,76,370.37,Taiwan,Guatemala
True Love Espresso Blend,94,Medium Light,57,77,114.64,Taiwan,Guatemala
Colombia Sebastian Ramirez Washed Pink Bourbon,97,Light,62,84,8.82,USA,Colombia
Colombia Manos Juntas Anaerobic Natural,94,Light,63,85,5.29,USA,Colombia
Ecuador La Papaya Geisha Natural,96,Medium Light,61,79,16.75,USA,Ecuador
Yemen Al Obrah,95,Light,62,86,18.52,USA,Yemen
Kenya Embu,95,Light,62,80,528.63,Taiwan,Kenya
Yemen Ismaili,94,Medium Light,57,81,528.63,Taiwan,Yemen
Guatemala Acatenango Geisha,94,Medium Light,59,79,528.63,Taiwan,Guatemala
Ethiopia Bench-Maji Lucy Geisha Anaerobic Natural,94,Light,64,88,300.0,Taiwan,Ethiopia
Wilton Benitez Colombia Yellow Bourbon,96,Light,63,88,9.7,USA,Colombia
Kona Tropical Punch Washed,95,Light,68,84,44.09,USA,USA
Granate,94,Medium Light,57,79,5.4,Peru,Peru
Kenya Kirinyaga,95,Light,60,82,7.35,USA,Kenya
